dept_acronym,shortcode,project_name,description,total_budget,estimated_completion_date,source,as_of_date,original_document_order
cbsa,e-portal-nexus,Secure E-Portal,"Consolidated Enterprise Portal, NEXUS eApplication and Trusted Trader Portal
 Enterprise-Portal
 The 'Secure E-Portal' development activity will enable and extend CBSA secure electronic services to partners and members of the public to help expedite information exchange and the border management processes. NEXUS eApplication
 To support the Trusted Traveller expansion outlined in the Beyond ttie Border Action Plan, the CBSA will develop a Canadian eApplication for NEXUS membership, and set the foundation for future Trusted Traveller programs (including additional bi-national and tri-national arrangements). Trusted Trader Portal
 Under the Beyond the Border Action Plan, the Canada Border Services Agency (CBSA) committed to develop an interoperable communication portal, similar to the United States, for its Partners in Protection (PIP) program applicants and members, as well as for other trusted trader programs including Customs Self-Assessment (CSA) and CSA Platinum. The TIP will serve as the foundation for future phases of Trusted Trader enhancements, including the streamlined exchange of program information between the Trusted Trader and the U.S. Customs-Trade Partnership Against Terrorism (C-TPAT) portals.",37730299,2018-03-31,8555-421-266,"June 9, 2016",302
cbsa,,Security Screening Automation,Will enable CBSA screening officers to meet increasing screening volumes and focus on review of complex immigration cases of people who may pose a national security risk to Canada.,14466226,2024-03-31,8530-441-13-505,"April 25, 2022",356
cbsa,soa,Service Oriented Architecture Enablement,"Service Oriented Architecture Enablement (SOA)
 A Service Oriented Architecture (SOA) will provide a process repository that will be available to all initiatives. This availability will deliver a consistent approach to all delivery teams and it standardizes the wav in which SOA services enable IT solutions.",8700000,2020-03-31,8555-421-2460,"May 1, 2019",346
cbsa,swi,Single Window Initiative,"Single Window Initiative (SWI) • Includes only CBSA portion of the project
 Beyond the Border initiative to provide trade a ""single window"" for
 integrated and advance electronic reporting of import information required to satisfy Government of Canada (GoC) requirements. As well
 as, responds to the trade community's requests to simplify processes at
 ILL- L--J--  J  LL- ,..,  J  2of3",30843831,2017-03-31,8555-421-266,"June 9, 2016",300
cbsa,srpoe,Small and Remote Ports of Entry,"Small and Remote Ports of Entry (SRPOE)
 Under the Perimeter Security and Economic Competitiveness Action Plan, the Small and Remote Ports of Entry (SRPOE) Initiative commits Canada and the United States (U.S.) to jointly plan investments and
 -  - ,- lio n ♦ ,. .,...,,;  ,...,. <1t  COp()i=..  '"""""" •h""f'<>n<>rl<>_I  I C::  hnrrlor",16100000,2017-03-31,8555-421-266,"June 9, 2016",301
cbsa,tpm,Travellers Processing Modernization,"Travellers Processing Modernization
 Designing and implementing a solution to support a touchless border for low risk, known people and goods, and more effective screening for high risk entities.",,,8555-421-2460,"May 1, 2019",351
cbsa,windows-server,Windows Server Upgrade,"Windows Server Upgrade
 Uparading near or out of support Windows Server versions to currently suooorted version(s).",,,8555-421-2460,"May 1, 2019",355
cbsa,wlm,Workload Migration,"Closing of St. Laurent Data Centre (Workload Migration)
 The Workload Migration (WLM) Program is a joint venture between Shared Services Canada, Canada Revenue Agency (CRA) and the CBSA to successfully decommission the St. Laurent Data Centre facility used by CBSA and CRA by March 31st, 2023. The three partners are working collaboratively to select the site options and possible migration approaches that will maintain existing service and performance levels, and minimize risk
 to the CRA and CBSA business cycle.",,,8555-421-2460,"May 1, 2019",354
ceaa,iarp,Impact Assessment Registry Project,"Impact Assessment Registry Project- The Agency is updating its assessment registry into a modern, user-focused public registry that will provide information related to impact assessments, the process and decisions.",6800000,2021-03-31,8555-421-2460,"May 1, 2019",189
ced,gcpm,Government of Canada Program Management (GCPM) for Regional Development Agencies,"Government of Canada Program Management (GCPM): The design and build of a common, modern, and client-centric IM/IT system to support online delivery of the Regional Development Agencies' grants and contribution mandate. The proposed system would replace the agencies' inefficient and obsolete systems, offering various levels of automation and using a combination of applications.",1813303,2019-03-31,8555-421-266,"June 9, 2016",188
ced,sap,SAP Project,SAP Project (Common Solution Government of Canada),2504496,2021-09-30,8555-421-2460,"May 1, 2019",306
ced,,SAP Project (IRIS Solution),"The SAP project is an onboarding project of the SAP ECC6 version (solution of the IRIS Cluster of the Treasury Board Secretariat) aimed at replacing the Freebalance Financials 6.5e system, which has become obsolete. Canada Economic Development for Quebec Regions (CED) has joined three other federal departments and organizations that are jointly implementing this solution, under the supervision of the Office of the Comptroller General.",2798064,2023-03-31,8530-441-13-505,"April 25, 2022",70
cer,,GCdocs,"The CER is planning to implement the GCdocs solution to manage digital records and files. It is intended to replace the CER's information management system, RDIMS.",2710772,2023-03-31,8530-441-13-505,"April 25, 2022",347
cer,,SAP - Integrated Reporting Information System Cluster,"The CER is implementing a SAP solution, intended to replace the CER's FreeBalance financial system, which is no longer supported.",2486000,2022-06-01,8530-441-13-505,"April 25, 2022",348
cfia,,Automated Import Reference System (AIRS) Modernization Project,"The goal of this project is to redesign and build an improved AIRS overall solution. The new solution will provide access to clear, concise and correct import admissibility requirements information.",2500000,2024-06-30,8530-441-13-505,"April 25, 2022",263
cfia,,Canadian Animal Disease Integrated Application (CADIA),"CADIA will be the primary application for animal disease incident response regarding CFIA regulated  terrestrial or aquatic animal disease requiring investigation, response or international reporting. CADIA will be used to replace the current Canadian Emergency Management Response System (CEMRS-legacy system) which must be decommissioned because the company will no longer be providing technical support for this application as of 2024.",1536700,2023-03-31,8530-441-13-505,"April 25, 2022",268
cfia,,Canadian Plant Health Information System (CPHIS),"CPHIS is a centralized cloud-based solution for CFIA and plant health protection partners to improve information sharing, data analytics and risk intelligence.",3158000,2026-09-30,8530-441-13-505,"April 25, 2022",260
cfia,,Communication and Public Affairs - Web Renewal,"This project will replace the current Web Content Management System, review and update web content on inspection.gc.ca, enhance CFIA’s ability to manage and publish dynamic web content, replace CFIA’s email notification technology, and support Health Canada in the modernization of the Healthy Canadians website.",2052700,2022-12-31,8530-441-13-505,"April 25, 2022",266
